greek,southern_us,filipino,indian,jamaican,spanish,italian,mexican,chinese,british,thai,vietnamese,cajun_creole,brazilian,french,japanese,irish,korean,moroccan,russian,general,cuisine
0,0,0,7,0,1,5,1,0,0,0,0,0,0,1,0,0,0,3,0,6,japanese
0,6,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,10,southern_us
0,2,2,1,0,0,2,4,5,1,4,5,0,0,0,3,1,2,0,1,14,filipino
1,1,0,1,0,2,8,2,1,1,1,0,2,1,2,1,0,1,1,2,16,italian
5,2,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,12,greek
1,2,1,3,1,2,3,4,6,0,4,6,1,2,0,4,0,3,2,0,10,vietnamese
0,2,0,1,0,1,1,6,1,0,0,0,9,0,0,0,0,0,0,0,4,cajun_creole
2,5,0,9,3,3,5,5,2,1,2,3,4,1,2,6,1,0,3,1,12,indian
1,2,3,2,2,1,1,2,8,1,3,3,1,1,1,7,1,5,1,0,4,japanese
3,5,1,7,3,5,8,19,7,1,6,4,4,3,2,5,1,3,4,0,12,mexican
0,0,0,2,0,1,0,7,1,0,1,1,0,1,0,1,0,0,1,0,14,mexican
2,1,0,0,0,0,6,2,0,0,0,0,1,1,1,0,0,0,0,0,10,italian
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,filipino
2,0,3,1,0,0,0,0,7,0,5,4,0,0,0,2,0,2,0,0,8,japanese
2,5,0,2,0,0,5,5,0,1,0,0,5,1,2,1,1,0,0,0,12,southern_us
1,1,0,0,0,1,6,0,0,1,0,0,0,0,7,0,0,2,0,0,8,french
2,5,6,22,4,5,4,11,10,1,22,10,2,4,2,12,0,4,7,1,24,thai
3,2,0,2,0,3,7,3,0,2,0,0,2,1,5,0,2,0,1,3,16,spanish
0,2,0,0,0,0,1,0,1,3,0,0,0,0,1,1,0,0,0,0,10,chinese
2,4,1,3,2,7,5,2,2,1,1,1,4,2,6,1,0,1,0,0,20,spanish
0,1,0,2,0,2,3,1,1,1,0,0,1,0,2,0,0,0,1,1,14,russian
0,3,4,6,3,2,4,7,5,0,13,8,1,4,0,4,0,1,0,0,12,thai
3,3,1,4,1,3,4,8,6,0,6,5,1,2,0,12,0,4,1,1,6,japanese
1,1,0,0,0,1,8,1,1,1,0,0,0,0,1,0,0,0,0,0,2,italian
0,2,0,6,0,1,1,4,5,1,4,1,2,0,0,3,0,1,2,0,6,chinese
0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,mexican
0,3,1,2,1,1,5,9,1,0,1,1,0,2,0,1,0,0,1,0,4,mexican
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,spanish
4,8,0,6,1,5,13,6,3,4,1,1,7,1,8,1,4,1,3,2,20,french
3,4,2,7,1,2,4,6,8,0,12,10,1,2,2,3,0,1,3,1,12,thai
2,5,2,3,0,1,10,8,2,0,1,1,3,0,1,1,0,2,0,0,12,italian
3,7,0,1,3,3,7,12,2,3,0,0,6,0,5,1,3,0,1,1,12,mexican
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,italian
2,2,1,1,0,1,10,4,0,0,1,1,2,1,2,0,0,0,0,0,12,italian
3,3,2,4,2,2,5,5,6,0,4,4,2,1,1,6,0,4,3,0,20,chinese
2,3,3,22,2,1,2,9,7,0,7,6,2,0,3,7,0,4,6,0,14,indian
0,5,0,1,1,3,9,2,3,0,1,2,2,0,7,0,1,0,0,0,12,french
2,6,0,3,2,3,5,5,1,1,1,0,10,1,2,0,1,0,2,1,10,cajun_creole
2,2,0,3,0,0,16,6,4,0,3,1,1,0,5,2,1,1,0,0,16,italian
2,3,0,4,0,3,8,9,2,0,3,2,2,2,3,2,0,1,4,0,16,moroccan
1,1,1,2,1,1,3,1,0,1,0,0,0,0,2,0,1,0,1,2,14,italian
1,5,0,1,1,2,5,3,2,0,2,2,1,1,3,1,1,0,1,0,16,mexican
2,5,3,4,1,3,6,3,6,2,3,2,6,1,4,3,1,2,1,0,12,cajun_creole
5,3,1,2,0,4,16,5,1,2,2,1,3,1,5,0,1,0,1,1,12,italian
0,6,0,1,2,0,3,3,1,2,1,1,3,0,2,1,2,1,0,0,4,southern_us
1,6,0,0,2,1,3,1,0,0,0,0,2,0,2,0,2,0,3,0,6,southern_us
4,5,0,3,0,4,9,3,2,0,2,1,5,1,5,2,0,0,3,2,6,italian
2,6,1,2,0,2,14,4,0,0,0,0,3,0,1,0,0,0,0,0,10,italian
1,2,2,3,0,1,4,1,7,0,3,2,1,0,0,2,0,7,0,0,10,korean
0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,7,0,3,0,0,4,japanese
3,3,0,2,1,3,14,5,2,0,4,2,3,1,4,2,0,0,2,0,6,italian
1,3,1,1,0,1,2,6,3,0,7,3,0,1,0,12,0,4,1,0,6,japanese
3,2,0,2,1,2,8,3,1,1,1,0,3,1,3,0,1,0,2,2,18,italian
0,1,2,2,1,0,0,0,2,0,6,2,0,1,0,1,0,0,0,0,4,thai
0,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,4,mexican
0,2,0,7,1,0,2,0,3,1,2,2,0,0,1,4,0,1,1,0,14,indian
3,3,3,6,2,1,2,16,4,0,4,2,2,2,1,4,0,1,2,0,0,mexican
2,4,2,3,3,2,3,11,2,0,3,2,2,4,2,3,0,0,2,0,6,mexican
1,3,1,1,1,1,6,4,2,1,1,1,3,0,2,1,1,1,0,1,10,southern_us
1,1,2,3,1,1,2,5,11,0,6,4,2,0,2,5,0,4,1,0,14,chinese
1,3,3,5,1,2,6,3,8,0,4,4,2,0,3,2,1,1,2,0,14,chinese
1,3,1,0,1,0,10,2,0,1,0,0,1,0,5,0,1,2,0,0,6,italian
2,2,0,2,1,2,3,12,0,0,1,0,2,2,2,1,0,0,2,0,14,mexican
4,4,1,3,2,3,7,3,4,2,2,1,4,2,4,1,2,1,2,1,14,french
0,2,1,3,1,3,1,10,1,0,2,2,0,3,3,1,0,0,0,0,2,mexican
3,0,1,3,0,0,1,1,6,0,4,3,0,0,0,6,0,4,1,0,2,japanese
4,1,0,0,0,0,9,5,0,0,0,0,1,1,1,0,0,0,0,0,4,italian
0,6,0,1,0,1,2,4,1,1,0,0,6,1,2,0,2,0,0,0,18,southern_us
0,1,5,3,1,0,0,2,2,0,2,0,0,0,0,1,0,2,0,1,8,filipino
1,3,2,4,1,1,2,13,4,3,4,3,2,2,1,4,1,1,2,1,8,mexican
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,italian
2,4,0,2,0,1,5,12,1,1,1,0,3,1,2,0,1,0,1,1,0,mexican
0,3,0,7,1,3,3,5,2,0,1,1,0,2,2,2,0,0,2,0,2,indian
0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,6,italian
2,2,0,4,0,5,5,2,1,1,1,1,2,0,5,0,0,0,2,2,18,spanish
1,3,2,7,1,2,4,5,1,1,3,0,2,0,3,2,1,0,6,1,14,moroccan
0,0,0,4,0,0,0,2,6,0,2,0,0,0,0,2,0,0,2,0,6,chinese
2,4,1,3,1,2,14,6,1,0,1,1,4,0,5,0,0,0,1,0,12,italian
5,3,0,4,0,2,7,4,1,0,1,2,3,1,2,1,0,0,3,1,6,moroccan
6,6,2,7,3,4,11,15,2,2,3,1,5,2,4,3,2,1,3,1,22,mexican
2,1,2,2,0,1,6,2,8,0,3,3,1,0,1,9,0,4,1,0,12,japanese
2,3,1,2,0,2,7,4,0,0,0,0,2,1,1,0,0,0,1,1,20,southern_us
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,italian
3,4,0,5,0,3,8,6,1,2,1,1,2,1,3,2,3,0,2,5,8,russian
2,0,0,2,0,1,1,1,0,0,0,0,0,0,5,0,0,0,1,0,12,french
1,4,1,5,2,1,6,15,4,0,5,1,5,3,0,3,0,2,2,0,10,mexican
1,3,2,9,1,1,3,2,10,1,5,4,2,0,2,6,1,4,1,0,22,chinese
0,1,2,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,6,indian
2,6,0,1,2,3,7,4,2,1,0,0,9,0,2,0,1,0,0,0,12,cajun_creole
1,5,0,2,1,0,2,3,1,3,0,0,2,0,4,1,2,0,0,2,10,british
3,5,0,4,0,2,3,4,0,1,1,0,5,1,2,0,1,0,2,1,4,southern_us
0,3,0,0,1,1,1,1,1,1,0,0,2,0,2,1,1,0,0,0,10,italian
0,14,0,0,0,0,5,1,0,2,0,0,0,0,1,0,1,0,0,0,12,southern_us
0,1,1,2,0,0,2,3,9,0,3,3,0,0,0,3,1,3,0,1,14,korean
2,6,0,1,2,2,14,4,1,2,0,0,2,0,9,0,2,0,2,2,2,italian
2,0,0,2,0,0,3,2,3,0,2,2,0,0,0,5,0,3,1,0,6,japanese
1,6,0,2,1,3,3,5,2,1,1,0,4,2,2,1,1,1,2,0,10,southern_us
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,4,japanese
0,12,0,3,1,0,4,4,1,4,1,1,4,0,4,1,3,1,0,2,6,southern_us
1,9,0,6,2,3,13,6,2,5,0,0,3,0,7,0,2,0,5,4,18,russian
1,2,4,2,1,2,4,3,16,2,9,7,2,0,3,4,1,3,0,1,20,chinese
0,10,0,0,1,0,1,2,0,1,0,0,2,0,3,0,1,0,0,1,8,southern_us
0,4,0,0,0,1,3,0,0,0,0,0,1,0,1,0,2,0,0,1,6,british
1,7,0,2,1,3,6,21,2,1,2,2,2,3,1,2,1,0,2,0,2,mexican
2,3,1,4,0,1,8,3,2,2,0,0,2,2,4,2,2,0,0,1,4,italian
0,2,2,1,3,1,3,4,4,0,3,2,2,1,1,2,0,4,0,0,10,korean
1,1,0,0,0,1,2,1,0,0,0,0,1,1,3,0,0,0,1,1,4,french
2,2,1,1,0,1,9,3,0,0,0,0,2,0,0,0,0,0,0,0,6,italian
3,4,1,7,2,3,6,5,2,0,4,2,1,2,1,3,0,1,2,0,16,indian
1,6,0,1,1,1,3,0,0,2,0,0,0,0,3,0,0,0,0,0,10,cajun_creole
1,8,0,2,1,0,5,5,2,2,0,0,3,0,3,1,2,0,0,2,10,southern_us
1,2,0,4,2,1,2,3,2,0,3,2,1,1,1,3,0,1,3,0,10,indian
0,7,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,southern_us
1,1,0,1,0,1,2,1,0,1,0,0,1,1,5,0,1,0,1,1,4,french
1,3,0,0,0,0,16,3,2,0,1,1,1,1,3,0,0,0,1,0,8,italian
0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,italian
1,2,0,1,0,1,7,2,0,1,0,0,2,1,2,0,0,0,1,0,2,italian
0,1,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4,british
7,3,0,5,1,3,8,4,2,0,3,2,1,0,2,1,0,1,3,1,8,indian
4,9,2,11,1,5,8,11,7,0,6,3,5,3,4,5,0,1,5,0,8,indian
1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,8,italian
3,3,2,6,1,3,8,7,10,0,10,7,1,3,3,3,0,3,1,1,8,thai
1,7,0,2,1,0,3,4,3,4,0,0,2,0,5,2,2,0,0,2,8,southern_us
1,3,0,0,2,2,7,1,2,0,0,0,2,0,6,0,2,0,3,0,18,french
0,1,1,1,1,1,0,2,1,0,1,1,0,3,0,1,0,0,0,0,2,brazilian
0,1,0,5,0,4,2,24,4,0,5,4,0,4,1,2,0,0,2,0,12,mexican
0,2,3,3,1,1,2,2,9,1,3,3,1,1,0,3,0,3,0,0,8,chinese
0,2,0,0,0,0,5,2,0,0,0,0,1,2,1,0,0,0,0,0,8,southern_us
1,1,3,0,0,0,3,1,7,0,4,3,1,1,1,1,0,2,0,0,8,vietnamese
1,3,0,0,0,2,5,4,1,1,0,0,1,0,7,0,0,0,1,1,16,french
1,1,0,1,0,0,3,9,2,1,0,0,1,0,1,0,1,0,0,1,2,mexican
1,0,1,2,0,0,1,1,5,0,3,2,0,0,0,6,0,8,1,0,8,korean
3,6,0,4,2,5,8,12,5,0,6,4,4,3,2,5,0,2,4,1,8,mexican
4,4,0,6,2,3,4,10,3,0,4,3,1,3,1,4,0,1,3,1,10,indian
4,9,0,3,3,6,8,6,3,3,3,1,9,0,6,2,2,1,1,0,8,cajun_creole
0,1,0,0,0,0,8,1,0,0,0,0,1,1,2,0,0,0,0,0,12,italian
1,1,0,1,0,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1,8,spanish
2,3,4,5,1,2,4,4,11,0,6,4,2,0,1,4,0,3,1,0,8,chinese
2,4,0,0,0,2,10,8,1,0,1,0,2,0,2,0,0,1,1,0,6,italian
0,0,1,6,0,0,2,1,1,0,6,0,0,0,3,0,0,0,1,0,2,indian
0,2,0,0,0,0,6,2,0,0,0,0,1,1,2,0,0,0,0,0,4,southern_us
0,4,0,0,3,2,6,9,1,1,0,0,4,1,1,1,1,0,0,0,4,mexican
7,11,1,6,2,8,12,11,4,2,6,3,13,3,7,2,2,1,6,1,14,cajun_creole
5,3,0,2,0,4,14,3,2,0,3,2,4,0,5,2,1,1,4,0,8,italian
0,6,0,1,0,1,2,2,1,2,0,0,2,1,2,0,2,0,0,1,4,southern_us
0,4,1,11,1,0,0,6,1,0,5,2,0,1,0,3,0,0,2,1,10,indian
1,2,1,2,1,2,3,3,2,0,3,1,3,1,1,2,0,0,0,0,8,italian
4,5,0,2,1,3,12,7,3,0,2,1,5,0,3,3,1,2,2,1,6,italian
1,4,0,0,0,0,4,2,3,0,1,1,2,0,2,2,1,0,0,1,4,southern_us
1,6,0,1,2,1,5,5,1,1,1,0,2,1,2,0,1,0,0,0,4,southern_us
1,3,1,1,4,2,1,4,1,1,1,1,2,1,1,1,1,0,0,0,18,jamaican
8,8,0,11,4,4,9,10,0,3,4,2,5,2,4,1,3,0,12,2,16,moroccan
2,5,0,3,0,4,5,24,0,0,3,2,2,4,2,2,0,0,2,0,4,mexican
0,8,1,0,0,1,2,2,2,0,1,1,1,2,1,0,0,1,0,0,12,southern_us
0,2,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,12,southern_us
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,indian
0,2,0,0,1,1,2,3,1,1,2,0,4,0,1,1,1,0,0,0,2,mexican
1,3,3,5,2,2,2,12,4,0,4,4,0,4,2,4,0,0,1,0,6,mexican
0,1,1,2,0,0,3,10,1,0,1,0,0,0,0,1,0,1,0,0,8,mexican
4,3,2,6,3,3,10,4,2,3,1,0,2,1,6,2,2,0,3,1,24,greek
2,1,1,1,0,1,10,3,0,0,0,0,1,0,0,0,0,0,0,0,4,italian
5,3,0,0,0,2,13,4,0,0,1,1,3,0,4,0,0,0,0,0,6,italian
4,6,0,5,2,2,8,19,2,1,3,1,4,2,3,3,2,1,3,2,4,mexican
3,3,1,1,2,3,11,5,1,0,1,1,4,1,4,1,0,0,1,0,6,italian
1,2,2,5,3,2,5,5,6,1,7,3,3,0,2,4,0,3,1,1,8,chinese
0,2,2,3,1,0,3,2,9,0,2,3,1,1,2,1,1,1,1,0,6,chinese
0,5,0,0,0,0,3,2,0,0,0,0,2,0,1,0,0,0,0,0,12,southern_us
0,2,2,12,0,0,0,1,1,0,2,0,0,1,0,2,0,1,0,0,6,indian
3,6,1,6,3,3,5,15,3,0,4,2,6,2,3,4,0,2,5,0,4,mexican
0,0,0,0,0,0,3,2,0,0,0,0,0,0,4,0,0,0,0,0,10,french
6,12,1,15,3,8,15,12,4,3,6,3,6,3,8,4,3,1,14,2,22,moroccan
1,0,0,0,0,0,3,2,1,0,1,1,1,0,1,0,0,0,0,0,20,french
0,2,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,8,french
2,9,0,1,0,1,4,1,0,0,0,0,5,0,2,1,1,0,1,0,0,southern_us
1,3,3,8,2,0,2,5,3,1,5,3,3,1,3,4,1,0,3,0,12,indian
1,7,0,1,0,2,3,3,1,0,0,0,7,0,2,0,0,0,1,1,12,southern_us
1,4,4,5,2,2,2,10,8,0,9,7,1,2,1,5,1,2,2,1,8,vietnamese
2,2,1,5,1,2,2,5,3,0,7,4,0,1,1,1,0,1,2,0,6,thai
5,5,1,4,1,4,17,8,2,2,2,1,4,1,5,0,2,3,3,1,12,italian
0,8,0,0,3,1,1,4,1,1,0,0,6,0,1,1,1,0,0,0,12,southern_us
5,5,2,4,2,4,12,16,2,0,3,2,4,2,4,4,0,2,2,0,28,mexican
2,1,1,5,1,1,4,3,11,1,4,4,1,0,1,6,1,3,1,0,12,chinese
2,4,3,2,2,2,2,4,4,1,2,2,2,0,2,2,1,1,1,0,16,chinese
1,2,2,3,1,1,1,5,3,1,3,3,1,1,1,2,1,1,1,0,18,mexican
2,4,0,0,1,2,13,3,0,2,0,0,4,1,6,0,0,0,0,1,18,italian
3,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,2,mexican
0,2,1,4,0,0,1,1,6,0,2,3,2,0,2,2,0,1,1,0,14,chinese
0,4,2,13,1,2,2,7,3,0,6,3,1,1,2,7,0,1,5,0,10,indian
3,3,0,6,1,1,3,7,4,0,7,7,1,2,0,2,0,2,2,0,12,thai
2,2,1,6,0,2,3,5,4,0,8,4,1,1,2,1,0,2,3,0,4,vietnamese
0,2,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,4,italian
0,1,1,1,1,0,1,1,8,0,3,2,0,1,0,3,0,2,1,0,12,chinese
3,4,1,3,1,3,14,4,0,2,0,0,2,1,4,1,0,0,0,0,12,italian
0,3,0,2,1,2,4,5,2,0,4,2,0,2,1,2,0,0,2,0,18,mexican
1,1,0,4,0,1,1,4,1,0,4,3,0,1,1,1,0,0,2,0,6,indian
0,1,0,0,0,0,2,6,1,1,1,0,1,0,0,0,1,0,0,0,6,mexican
3,7,2,6,1,1,4,11,15,0,17,10,0,2,2,8,0,5,3,1,10,thai
1,6,1,3,2,2,5,4,1,3,1,1,5,2,4,1,2,1,1,2,12,cajun_creole
1,4,2,16,4,2,2,6,3,0,6,5,1,2,1,4,0,0,3,0,4,indian
2,2,2,2,0,0,4,6,8,0,6,6,0,0,1,5,0,7,3,0,20,korean
1,4,0,2,1,1,3,7,1,0,2,1,2,1,2,1,0,0,1,0,8,brazilian
1,5,3,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,0,0,10,filipino
1,11,0,1,0,1,4,2,1,0,1,1,3,1,3,1,0,1,3,0,16,southern_us
3,2,1,1,0,2,10,5,1,0,2,1,2,1,3,1,0,0,1,0,4,italian
2,5,4,3,3,2,3,7,10,0,4,3,2,1,1,3,0,2,2,0,16,chinese
0,1,0,1,0,0,4,1,1,1,0,0,1,0,1,0,0,0,0,1,10,italian
0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,italian
1,3,0,1,0,1,2,1,0,1,0,0,2,1,1,0,1,0,1,1,14,southern_us
0,1,0,1,0,0,3,1,2,1,2,1,1,0,6,3,0,0,0,0,14,french
0,15,1,3,5,0,3,4,3,5,2,2,2,1,5,2,3,2,1,1,16,southern_us
3,7,1,5,3,2,7,2,3,1,1,0,4,1,4,2,2,0,1,1,26,southern_us
1,1,2,2,1,1,3,2,14,1,6,5,1,0,1,3,1,4,0,0,10,chinese
0,1,3,5,1,0,3,4,5,0,6,4,0,1,2,5,0,6,2,0,8,korean
1,3,2,7,3,0,2,3,4,0,5,2,1,2,1,2,0,1,3,0,12,thai
0,3,2,5,2,1,1,7,3,0,4,3,2,3,0,4,0,1,2,0,14,mexican
1,6,0,2,0,4,7,5,1,0,1,1,13,0,4,1,2,0,1,0,12,cajun_creole
4,2,1,1,1,3,13,3,1,0,1,1,2,0,2,1,0,2,1,0,6,italian
0,1,1,1,1,1,2,1,4,0,2,2,2,1,1,10,0,4,0,0,6,japanese
0,1,5,7,1,1,3,5,20,2,8,6,0,1,0,7,0,4,2,1,4,chinese
4,2,1,3,0,2,4,3,2,1,2,0,2,1,2,3,1,0,5,1,10,greek
2,3,0,3,0,3,10,3,1,0,1,1,3,1,3,0,1,1,2,0,6,italian
5,3,0,5,0,2,3,2,3,0,3,3,1,0,1,2,0,1,1,1,2,greek
2,4,0,7,2,4,7,7,3,1,4,2,2,2,4,3,0,0,8,0,14,moroccan
2,5,2,7,2,4,7,11,12,0,18,14,4,3,3,7,1,2,5,2,8,vietnamese
0,4,1,2,1,0,3,2,1,4,0,0,3,0,1,1,0,0,0,2,6,cajun_creole
2,7,1,5,2,4,4,13,3,0,4,3,4,4,2,4,0,0,1,0,10,mexican
0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,italian
2,4,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,southern_us
2,2,0,2,3,0,2,3,0,2,0,0,1,0,2,0,2,0,2,3,10,southern_us
0,4,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,8,southern_us
2,2,0,2,1,1,10,2,2,0,2,0,2,0,3,0,0,0,2,0,10,italian
7,6,2,3,0,4,21,13,3,2,1,1,7,2,6,1,1,0,2,1,10,italian
7,8,0,8,1,7,11,12,4,0,5,2,5,3,6,2,0,0,8,2,10,moroccan
4,1,0,1,0,2,7,5,2,0,2,2,1,0,2,1,0,1,1,1,8,greek
1,2,0,1,0,1,4,1,1,0,1,0,1,0,4,0,0,0,1,0,10,french
6,4,1,4,0,5,13,6,3,0,4,2,5,1,5,1,0,1,3,2,6,italian
2,2,0,7,1,0,4,2,0,0,3,2,1,1,2,3,0,0,2,0,8,indian
1,2,1,4,0,0,3,3,12,0,7,4,1,0,0,3,0,5,1,0,10,chinese
1,1,0,0,1,1,8,3,2,1,1,1,3,0,4,1,1,0,0,0,16,italian
3,2,0,0,0,2,9,5,0,0,0,0,3,0,2,0,0,0,0,0,8,greek
2,5,2,5,2,4,6,21,12,2,6,5,3,2,3,5,1,4,2,1,4,mexican
1,5,2,4,1,3,5,14,3,2,1,1,1,0,3,0,1,0,3,2,18,mexican
4,11,2,19,6,2,4,8,8,2,16,8,2,3,4,6,2,0,5,1,18,thai
0,5,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,16,southern_us
1,7,1,3,4,4,7,4,3,0,2,1,9,3,3,2,1,1,0,0,18,cajun_creole
1,1,2,2,1,1,2,1,6,0,8,4,1,1,0,2,0,3,1,0,12,vietnamese
2,2,0,1,0,3,13,2,2,2,2,0,2,1,6,2,0,1,0,1,8,italian
0,1,1,0,0,0,1,1,7,0,4,3,0,0,0,3,0,4,0,0,6,japanese
3,4,4,5,0,1,3,9,12,0,9,8,1,1,0,7,0,9,2,1,14,korean
2,1,0,1,0,0,8,2,2,0,0,0,1,1,1,1,0,0,0,0,8,italian
1,0,1,1,0,1,2,0,1,0,1,0,0,0,1,1,0,0,1,0,14,filipino
0,1,0,0,0,0,10,2,0,0,0,0,1,1,1,0,0,0,0,0,12,italian
1,1,0,0,0,1,4,0,0,1,0,0,0,0,2,0,0,0,0,0,10,italian
1,0,0,1,0,0,3,9,0,0,0,0,0,0,0,1,0,1,0,0,0,mexican
1,3,0,3,1,2,4,2,2,0,2,2,1,4,3,2,0,1,2,0,10,brazilian
1,8,0,5,1,0,4,3,2,4,0,0,3,0,4,1,2,0,0,3,12,southern_us
0,1,0,2,0,1,1,3,2,0,0,0,7,0,0,0,0,1,0,0,14,cajun_creole
1,7,0,1,1,0,3,2,2,2,5,1,2,0,2,1,2,0,0,2,12,southern_us
7,2,1,1,0,0,9,4,0,0,0,2,1,1,2,1,1,1,0,1,22,greek
1,2,0,2,1,2,3,12,1,0,3,4,1,2,2,3,0,1,2,0,6,mexican
0,2,0,1,0,0,4,2,1,0,1,1,1,0,2,4,0,2,0,0,8,japanese
4,5,0,6,1,4,8,8,1,1,3,2,2,3,4,1,3,0,9,2,28,indian
0,0,2,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,10,chinese
0,2,0,0,0,0,1,3,0,1,0,0,1,0,1,0,0,0,0,0,6,mexican
2,4,0,2,5,0,2,2,1,4,0,0,2,0,3,1,2,0,3,1,18,british
1,2,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,10,southern_us
2,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,2,greek
2,5,0,2,1,2,4,6,0,3,0,0,3,1,6,0,3,0,3,2,22,irish
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,mexican
0,1,1,1,0,0,1,2,0,0,2,0,1,3,2,0,0,0,0,0,4,thai
0,2,4,2,1,0,0,4,6,0,2,2,0,0,0,1,0,2,0,1,16,filipino
0,2,1,3,0,1,3,4,7,0,5,3,4,0,1,2,0,2,0,0,16,chinese
2,5,1,5,1,3,5,10,7,0,10,5,2,1,1,3,0,0,2,0,10,thai
6,3,0,5,0,0,2,3,0,1,0,0,1,0,2,0,1,0,0,2,8,greek
0,4,1,4,1,1,2,3,1,2,1,1,1,3,1,1,2,0,0,1,14,mexican
1,2,2,3,2,3,2,18,3,0,3,3,1,2,1,2,0,1,2,0,4,mexican
1,1,0,1,1,0,6,1,1,0,1,0,1,0,1,0,0,0,1,0,0,italian
6,3,0,2,0,2,10,7,3,2,2,2,3,1,7,3,0,0,2,2,12,cajun_creole
1,3,4,5,2,2,3,5,8,1,13,5,1,2,1,2,0,3,1,0,10,thai
1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,18,italian
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,italian
8,6,0,5,3,2,6,7,2,1,2,1,5,0,3,1,1,1,1,2,4,greek
0,4,1,6,3,1,3,3,6,1,12,5,1,2,2,4,1,1,1,0,10,thai
2,3,0,1,1,0,11,4,1,0,1,0,2,0,1,0,0,0,1,0,10,italian
0,1,1,6,1,6,7,4,1,0,1,1,2,1,4,1,0,1,2,0,12,spanish
4,3,0,3,0,2,11,5,1,0,1,1,3,1,3,2,0,1,2,0,10,italian
4,2,0,1,0,1,4,2,0,1,0,0,1,1,4,0,1,0,1,1,10,greek
1,2,1,2,1,1,4,1,4,1,2,2,2,0,2,2,1,1,0,0,8,chinese
2,2,0,3,0,1,3,1,1,1,0,1,1,0,2,1,1,0,9,0,14,moroccan
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,mexican
1,6,5,4,2,3,7,6,19,2,7,6,5,1,4,5,1,5,0,1,4,chinese
1,2,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,14,french
2,4,0,3,0,1,9,4,1,2,2,0,6,2,4,1,2,0,1,1,12,southern_us
0,4,0,1,0,2,2,1,0,2,1,0,1,0,4,0,1,0,0,1,4,southern_us
0,4,1,5,2,3,4,11,7,0,6,4,2,2,1,4,0,3,3,1,14,mexican
3,4,5,7,3,2,6,8,13,1,8,7,3,1,2,6,1,6,3,0,12,chinese
2,6,2,5,4,2,4,5,4,3,3,3,3,2,4,3,1,1,4,1,14,jamaican
1,2,1,0,0,0,4,3,0,0,0,0,0,0,3,0,1,0,0,0,18,irish
1,4,0,1,0,1,5,4,0,4,0,0,3,0,6,0,1,0,0,2,6,southern_us
0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,14,irish
2,1,1,2,1,3,6,3,2,2,2,1,2,0,11,2,0,2,1,1,12,french
0,2,2,4,1,1,3,2,7,0,8,6,1,2,0,3,0,2,1,0,16,thai
1,12,0,1,3,0,6,5,3,3,1,1,1,1,4,2,2,1,1,1,14,southern_us
